Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
f64xsubf128;libm-2.28.so;;63.79;13.66;0.27;
exp;libm-2.28.so;;14.06;3.01;0.39;
baseline;binary;kernel.c:14;11.38;2.44;0.24;
Unknown functions;binary;;3.69;0.79;0.15;
@plt;libm-2.28.so;;3.55;0.76;0.28;
lgamma;libm-2.28.so;;3.48;0.74;0.21;
apic_timer_interrupt;SYSTEM CALL;;0.01;0.00;0.00;
random_r;libc-2.28.so;;0.01;0.00;0.00;
interrupt_entry;SYSTEM CALL;;0.01;0.00;0.00;
_raw_spin_lock;SYSTEM CALL;;0.00;0.00;0.00;
main;binary;driver.c:23;0.00;0.00;0.20;
cfb_imageblit;SYSTEM CALL;;0.00;0.00;0.20;
native_sched_clock;SYSTEM CALL;;0.00;0.00;0.00;
native_apic_mem_write;SYSTEM CALL;;0.00;0.00;1.00;
_raw_spin_lock_irqsave;SYSTEM CALL;;0.00;0.00;0.00;
read_tsc;SYSTEM CALL;;0.00;0.00;0.00;
rand;libc-2.28.so;;0.00;0.00;0.00;
swapgs_restore_regs_and_return_to_usermode;SYSTEM CALL;;0.00;0.00;0.00;
